transect_number,quadrat,species,percent_cover
1,1,vulpia bromoides,15.0
1,1,briza minor,15.0
1,1,aira caryophyllea,0.5
1,1,romulea rosea,0.5
1,1,bromus hordeaceus,3.0
1,1,convolvulus angustissimus,1.0
1,1,solenogyne gunnii,5.0
1,1,calocephalus citreus,5.0
1,1,plantago gaudichaudii,5.0
1,1,oxalis perennans,0.5
1,1,chloris truncata,0.5
1,1,austrostipa spp.,10.0
1,1,rytidosperma spp.,25.0
1,1,BG,14.5
1,1,L,2.0
1,2,bromus hordeaceus,30.0
1,2,briza minor,10.0
1,2,aira caryophyllea,5.0
1,2,lolium rigidum,0.5
1,2,vulpia bromoides,0.5
1,2,plantago lanceolata,5.0
1,2,romulea rosea,5.0
1,2,chloris truncata,5.0
1,2,solenogyne gunnii,10.0
1,2,convolvulus angustissimus,5.0
1,2,plantago gaudichaudii,0.5
1,2,rytidosperma spp.,10.0
1,2,austrostipa spp.,3.0
1,2,BG,10.5
1,2,L,0.5
1,3,briza maxima,0.5
1,3,aira caryophyllea,1.0
1,3,vulpia bromoides,0.5
1,3,romulea rosea,1.0
1,3,briza minor,0.5
1,3,asperula conferta,10.0
1,3,convolvulus angustissimus,1.0
1,3,calocephalus citreus,0.5
1,3,plantago gaudichaudii,5.0
1,3,velleia paradoxa,0.5
1,3,austrostipa spp.,5.0
1,3,rytidosperma spp.,25.0
1,3,BG,49.0
1,3,LM,0.5
1,4,vulpia bromoides,1.0
1,4,aira caryophyllea,0.5
1,4,briza minor,0.5
1,4,convolvulus angustissimus,0.5
1,4,oxalis perennans,1.0
1,4,calocephalus citreus,20.0
1,4,velleia paradoxa,5.0
1,4,acaena echinata,1.0
1,4,solenogyne gunnii,2.0
1,4,rytidosperma spp.,35.0
1,4,austrostipa spp.,8.0
1,4,BG,26.0
1,4,L,0.5
1,5,briza minor,15.0
1,5,romulea rosea,0.5
1,5,vulpia bromoides,0.5
1,5,hypochoeris radicata,1.0
1,5,plantago lanceolata,0.5
1,5,asperula conferta,2.0
1,5,convolvulus angustissimus,5.0
1,5,solenogyne gunnii,2.0
1,5,chloris truncata,5.0
1,5,oxalis perennans,1.0
1,5,rytidosperma spp.,30.0
1,5,austrostipa spp.,10.0
1,5,BG,30.0
1,5,L,1.0
1,6,vulpia bromoides,5.0
1,6,oxalis pes-caprae,1.0
1,6,aira caryophyllea,0.5
1,6,romulea rosea,5.0
1,6,bromus hordeaceus,1.0
1,6,lolium rigidum,0.5
1,6,plantago gaudichaudii,5.0
1,6,pimelea spinescens,1.0
1,6,rytidosperma spp.,10.0
1,6,BG,72.0
1,6,L,3.0
1,7,bromus hordeaceus,5.0
1,7,vulpia bromoides,5.0
1,7,briza minor,0.5
1,7,aira caryophyllea,0.5
1,7,plantago lanceolata,5.0
1,7,romulea rosea,0.5
1,7,acrotriche serrulata,40.0
1,7,plantago gaudichaudii,15.0
1,7,eryngium ovinum,0.5
1,7,chloris truncata,0.5
1,7,convolvulus angustissimus,1.0
1,7,rytidosperma spp.,10.0
1,7,BG,17.0
1,7,L,0.5
1,8,lolium rigidum,5.0
1,8,romulea rosea,0.5
1,8,aira caryophyllea,0.5
1,8,vulpia bromoides,1.0
1,8,briza minor,0.5
1,8,hypochoeris radicata,1.0
1,8,oxalis perennans,0.5
1,8,acrotriche serrulata,5.0
1,8,pimelea spinescens,5.0
1,8,convolvulus angustissimus,5.0
1,8,chloris truncata,0.5
1,8,sonchus oleraceus,1.0
1,8,rytidosperma spp.,55.0
1,8,BG,30.0
1,8,L,5.0
1,9,romulea rosea,1.0
1,9,aira caryophyllea,5.0
1,9,vulpia bromoides,5.0
1,9,briza minor,0.5
1,9,lolium rigidum,0.5
1,9,calocephalus citreus,10.0
1,9,asperula conferta,15.0
1,9,plantago gaudichaudii,0.5
1,9,acaena echinata,5.0
1,9,velleia paradoxa,0.5
1,9,convolvulus angustissimus,0.5
1,9,solenogyne gunnii,0.5
1,9,austrostipa spp.,5.0
1,9,rytidosperma spp.,10.0
1,9,BG,35.0
1,9,L,3.0
1,10,romulea rosea,1.0
1,10,aira caryophyllea,5.0
1,10,vulpia bromoides,0.5
1,10,lolium rigidum,0.5
1,10,haloragis heterophylla,10.0
1,10,cuscuta epithymum,3.0
1,10,convolvulus angustissimus,0.5
1,10,asperula conferta,5.0
1,10,velleia paradoxa,0.5
1,10,rytidosperma spp.,25.0
1,10,BG,39.0
1,10,L,0.5
2,1,sonchus oleraceus,0.5
2,1,romulea rosea,1.0
2,1,aira caryophyllea,0.5
2,1,briza minor,0.5
2,1,bromus hordeaceus,5.0
2,1,vulpia bromoides,40.0
2,1,plantago lanceolata,1.0
2,1,plantago gaudichaudii,0.5
2,1,solenogyne gunnii,2.0
2,1,rytidosperma spp.,20.0
2,1,austrostipa spp.,3.0
2,1,BG,20.0
2,1,L,0.5
2,2,bromus hordeaceus,1.0
2,2,romulea rosea,20.0
2,2,vulpia bromoides,20.0
2,2,briza minor,3.0
2,2,lolium rigidum,0.5
2,2,asperula conferta,15.0
2,2,austrostipa spp.,5.0
2,2,BG,30.0
2,2,L,0.5
2,3,briza minor,20.0
2,3,bromus hordeaceus,5.0
2,3,aira caryophyllea,2.0
2,3,stellaria media,3.0
2,3,chloris truncata,2.0
2,3,austrostipa spp.,10.0
2,3,rytidosperma spp.,4.0
2,3,BG,54.0
2,3,L,0.5
2,4,pennisetum clandestinum,1.0
2,4,vulpia bromoides,40.0
2,4,romulea rosea,5.0
2,4,aira caryophyllea,0.5
2,4,oxalis pes-caprae,3.0
2,4,briza minor,2.0
2,4,solenogyne gunnii,4.0
2,4,plantago gaudichaudii,2.0
2,4,austrostipa spp.,10.0
2,4,rytidosperma spp.,15.0
2,4,BG,17.5
2,4,L,0.5
2,5,vulpia bromoides,3.0
2,5,aira caryophyllea,0.5
2,5,romulea rosea,2.0
2,5,bromus hordeaceus,0.5
2,5,briza minor,0.5
2,5,hypochoeris radicata,0.5
2,5,solenogyne gunnii,1.0
2,5,rytidosperma spp.,20.0
2,5,austrostipa spp.,5.0
2,5,austrostipa spp.,2.0
2,5,dichelachne crinita,10.0
2,5,BG,45.0
2,5,L,0.5
2,6,vulpia bromoides,15.0
2,6,romulea rosea,10.0
2,6,sonchus oleraceus,0.5
2,6,briza minor,0.5
2,6,plantago gaudichaudii,1.0
2,6,chloris truncata,5.0
2,6,austrostipa spp.,2.0
2,6,rytidosperma spp.,5.0
2,6,austrostipa spp.,10.0
2,6,BG,40.0
2,6,L,0.5
2,7,briza minor,1.0
2,7,vulpia bromoides,10.0
2,7,romulea rosea,0.5
2,7,sonchus oleraceus,0.5
2,7,acaena echinata,2.0
2,7,rytidosperma spp.,25.0
2,7,austrostipa spp.,2.0
2,7,BG,55.0
2,7,L,0.5
2,8,vulpia bromoides,60.0
2,8,romulea rosea,3.0
2,8,aira caryophyllea,1.0
2,8,briza minor,0.5
2,8,plantago gaudichaudii,3.0
2,8,maireana decalvans,1.0
2,8,rytidosperma spp.,19.0
2,8,austrostipa spp.,10.0
2,8,BG,10.0
2,8,L,0.5
2,9,vulpia bromoides,50.0
2,9,aira caryophyllea,2.0
2,9,romulea rosea,1.0
2,9,briza minor,2.0
2,9,plantago gaudichaudii,5.0
2,9,acaena echinata,0.5
2,9,rytidosperma spp.,5.0
2,9,rytidosperma spp.,2.0
2,9,BG,33.0
2,9,L,0.5
2,10,romulea rosea,1.0
2,10,vulpia bromoides,25.0
2,10,briza minor,0.5
2,10,aira caryophyllea,0.5
2,10,asperula conferta,5.0
2,10,calocephalus citreus,2.0
2,10,convolvulus angustissimus,5.0
2,10,solenogyne gunnii,5.0
2,10,rytidosperma spp.,20.0
2,10,austrostipa spp.,2.0
2,10,austrostipa spp.,0.5
2,10,BG,33.0
2,10,L,0.5
3,1,vulpia bromoides,4.0
3,1,romulea rosea,2.0
3,1,plantago lanceolata,2.0
3,1,bromus hordeaceus,1.0
3,1,lagenophora gracilis,0.5
3,1,plantago varia,2.0
3,1,oxalis perennans,1.0
3,1,podolepis jaceoides,7.0
3,1,lagenophora gracilis,0.5
3,1,rytidosperma spp.,15.0
3,1,chloris truncata,15.0
3,1,BG,45.0
3,1,LM,3.0
3,1,L,1.0
3,2,sonchus oleraceus,1.0
3,2,romulea rosea,5.0
3,2,vulpia bromoides,7.0
3,2,lagenophora gracilis,0.5
3,2,euchiton collinus,0.5
3,2,plantago gaudichaudii,5.0
3,2,podolepis jaceoides,2.0
3,2,plantago varia,1.0
3,2,rytidosperma spp.,4.0
3,2,BG,70.0
3,2,LM,7.0
3,2,L,2.0
3,3,bromus hordeaceus,11.0
3,3,euchiton collinus,1.0
3,3,romulea rosea,1.0
3,3,plantago lanceolata,4.0
3,3,vulpia bromoides,18.0
3,3,briza minor,0.5
3,3,aira caryophyllea,0.5
3,3,lolium perenne,0.5
3,3,podolepis jaceoides,5.0
3,3,asperula conferta,2.0
3,3,plantago varia,1.0
3,3,isolepis marginata,1.0
3,3,themeda triandra,6.0
3,3,austrostipa spp.,10.0
3,3,BG,31.0
3,3,LM,5.0
3,3,L,1.0
3,4,aira caryophyllea,1.0
3,4,vulpia bromoides,20.0
3,4,romulea rosea,1.0
3,4,calocephalus citreus,30.0
3,4,eryngium ovinum,1.0
3,4,asperula conferta,0.5
3,4,oxalis perennans,0.5
3,4,isolepis marginata,4.0
3,4,themeda triandra,13.0
3,4,BG,29.0
3,4,LM,1.0
3,4,L,2.0
3,5,romulea rosea,7.0
3,5,vulpia bromoides,5.0
3,5,asperula conferta,10.0
3,5,calocephalus citreus,19.0
3,5,oxalis perennans,1.0
3,5,plantago varia,1.0
3,5,themeda triandra,12.0
3,5,isolepis marginata,2.0
3,5,rytidosperma spp.,11.0
3,5,arthropodium minus,4.0
3,5,chloris truncata,7.0
3,5,BG,30.0
3,5,LM,4.0
3,5,L,1.0
3,6,aira caryophyllea,1.0
3,6,briza maxima,1.0
3,6,plantago lanceolata,2.0
3,6,briza minor,1.0
3,6,vulpia bromoides,10.0
3,6,romulea rosea,35.0
3,6,convolvulus angustissimus,1.0
3,6,asperula conferta,2.0
3,6,trifolium arvense,0.5
3,6,oxalis perennans,0.5
3,6,themeda triandra,25.0
3,6,austrostipa spp.,0.5
3,6,BG,19.0
3,6,LM,1.0
3,6,L,2.0
3,7,briza maxima,1.0
3,7,aira caryophyllea,2.0
3,7,vulpia bromoides,1.0
3,7,briza minor,0.5
3,7,convolvulus angustissimus,0.5
3,7,oxalis perennans,1.0
3,7,ptilotus macrocephalus,0.5
3,7,themeda triandra,60.0
3,7,arthropodium minus,0.5
3,7,BG,33.0
3,7,LM,0.5
3,7,L,0.5
3,8,romulea rosea,2.0
3,8,aira caryophyllea,0.5
3,8,vulpia bromoides,3.0
3,8,briza minor,0.5
3,8,oxalis perennans,5.0
3,8,convolvulus angustissimus,1.0
3,8,themeda triandra,45.0
3,8,BG,39.0
3,8,LM,0.5
3,8,L,0.5
3,9,nassella neesiana,30.0
3,9,sonchus oleraceus,5.0
3,9,vulpia bromoides,3.0
3,9,briza minor,0.5
3,9,stellaria media,3.0
3,9,lolium perenne,0.5
3,9,trifolium arvense,0.5
3,9,cirsium vulgare,3.0
3,9,aira caryophyllea,0.5
3,9,trifolium repens,0.5
3,9,oxalis perennans,0.5
3,9,themeda triandra,10.0
3,9,BG,43.0
3,9,L,2.0
3,10,briza minor,7.0
3,10,oxalis pes-caprae,1.0
3,10,romulea rosea,0.5
3,10,aira caryophyllea,0.5
3,10,ptilotus macrocephalus,0.5
3,10,themeda triandra,52.0
3,10,austrostipa spp.,3.0
3,10,BG,35.5
3,10,L,1.0
4,1,romulea rosea,15.0
4,1,aira caryophyllea,5.0
4,1,vulpia bromoides,2.0
4,1,plantago lanceolata,0.5
4,1,themeda triandra,60.0
4,1,rytidosperma spp.,15.0
4,1,juncus sp.,5.0
4,1,BG,19.0
4,1,LM,2.0
4,1,L,3.0
4,2,aira caryophyllea,0.5
