species,origin,growth_form,type
acaena echinata,N,F,NF
acaena novae-zelandiae,N,F,NF
acaena ovinum,N,F,NF
acrotriche serrulata,N,F,NF
agrostis capillaris,E,NA,E
aira caryophyllea,E,NA,E
aira cupaniana,E,NA,E
allium triquetrum,E,NA,E
amphibromus nervosus,N,G,NG
anagallis arvensis,E,NA,E
anthoxanthum odoratum,E,NA,E
arctotheca calendula,E,NA,E
arthropodium minus,N,G,NG
arthropodium strictum,N,G,NG
asperula conferta,N,F,NF
asperula scoparia,N,F,NF
austrostipa spp.,N,G,NG
avena fatua / barbata,E,NA,E
bossiaea prostrata,N,F,NF
brachyscome dentata,N,F,NF
brassica sp.,E,NA,E
briza maxima,E,NA,E
briza minor,E,NA,E
bromus catharticus,E,NA,E
bromus hordeaceus,E,NA,E
caesia calliantha,N,G,NG
calocephalus citreus,N,F,NF
calocephalus lacteus,N,F,NF
carex breviculmis,N,G,NG
carex inversa,N,G,NG
centaurium erythraea,E,NA,E
cheilanthes austrotenuifolia,N,F,NF
chloris truncata,N,G,NG
chrysocephalum apiculatum,N,F,NF
chrysocephalum semipapposum,N,F,NF
cirsium vulgare,E,NA,E
convolvulus angustissimus,N,F,NF
conyza bonariensis,E,NA,E
coronidium scorpioides,N,F,NF
crassula sieberiana,N,F,NF
cuscuta epithymum,E,NA,E
cynara cardunculus,E,NA,E
cynodon dactylon,E,NA,E
cynoglossum suaveolens,N,F,NF
dactylis glomerata,E,NA,E
dianella admixta,N,G,NG
dianella amoena,N,G,NG
dichelachne crinita,N,G,NG
dichondra repens,N,F,NF
diuris basaltica,N,G,NG
diuris lanceolata,N,G,NG
drosera macrantha,N,F,NF
drosera peltata,N,F,NF
echium plantagineum,E,NA,E
ehrharta longiflora,E,NA,E
eleocharis acuta,N,G,NG
elymus scaber,N,G,NG
enchylaena tomentosa,N,F,NF
enneapogon nigricans,N,G,NG
epilobium sp.,N,F,NF
eragrostis brownii,N,G,NG
eryngium ovinum,N,F,NF
eryngium vesiculosum,N,F,NF
euchiton collinus,E,NA,E
galenia pubescens,E,NA,E
galium aprine,E,NA,E
geranium aff. retrorsum,N,F,NF
geranium inundatum,N,F,NF
geranium pallidiflorum,N,F,NF
geranium potentilloides var. potentilloides,N,F,NF
gonocarpus tetragynus,N,F,NF
haloragis aspera,N,F,NF
haloragis heterophylla,N,F,NF
helichrysum luteoalbum,N,F,NF
helminthotheca echioides,E,NA,E
holcus lanatus,E,NA,E
hypericum gramineum,N,F,NF
hypochoeris glabra,E,NA,E
hypochoeris radicata,E,NA,E
isolepis marginata,N,G,NG
juncus amabilis,N,G,NG
juncus flavidus,N,G,NG
juncus sp.,N,G,NG
kennedia prostrata,N,F,NF
lachnagrostis adamsonii,N,G,NG
lachnagrostis aemula,N,G,NG
lachnagrostis filiformis,N,G,NG
lachnagrostis punicea ssp. punicea,N,G,NG
lagenophora gracilis,N,F,NF
leicocarpa panaetioides,N,F,NF
leontodon saxatilis,E,NA,E
leptorhynchos squamatus,N,F,NF
linum marginale,N,F,NF
linum trigynum,E,NA,E
lolium perenne,E,NA,E
lolium rigidum,E,NA,E
lomandra filiformis,N,G,NG
lomandra micrantha ssp. micrantha,N,G,NG
lomandra nana,N,G,NG
lotus corniculatus,E,NA,E
lotus sp.,E,NA,E
maireana decalvans,N,F,NF
medicago polymorpha,E,NA,E
microlaena stipoides,N,G,NG
microseris scapigera,N,F,NF
microtis unifolia,N,G,NG
nassella charruana,E,NA,E
nassella neesiana,E,NA,E
oxalis exilis,N,F,NF
oxalis perennans,N,F,NF
oxalis pes-caprae,E,NA,E
oxalis radicosa,N,F,NF
panicum effusum,N,G,NG
pennisetum clandestinum,E,NA,E
petrorhagia dubia,E,NA,E
phalaris aquatica,E,NA,E
phalaris minor,E,NA,E
pimelea curviflora,N,F,NF
pimelea glauca,N,F,NF
pimelea spinescens,N,F,NF
plantago coronopus,E,NA,E
plantago gaudichaudii,N,F,NF
plantago lanceolata,E,NA,E
plantago major,E,NA,E
plantago varia,N,F,NF
poa lab.,N,G,NG
poa morrisii,N,G,NG
poa sieberiana var. sieberiana,N,G,NG
podolepis jaceoides,N,F,NF
portulaca oleracea,E,NA,E
ptilotus macrocephalus,N,F,NF
ptilotus spathulatus,N,F,NF
romulea rosea,E,NA,E
rubus sp.,E,NA,E
rumex brownii,N,F,NF
rumex dumosus,N,F,NF
rutidosis leptorrhynchoides,N,F,NF
rytidosperma spp.,N,G,NG
schoenus apogon,N,G,NG
senecio glomeratus,N,F,NF
senecio macrocarpus,N,F,NF
senecio quadridentatus,N,F,NF
solanum nigrum,E,NA,E
solenogyne dominii,N,F,NF
solenogyne gunnii,N,F,NF
soliva sessilis,E,NA,E
sonchus oleraceus,E,NA,E
sphaeralcea ambigua,E,NA,E
stellaria media,E,NA,E
thelymitra pauciflora,N,G,NG
themeda triandra,N,G,NG
tricoryne elatior,N,G,NG
trifolium angustifolium,E,NA,E
trifolium arvense,E,NA,E
trifolium campestre,E,NA,E
trifolium repens,E,NA,E
trifolium subterraneum,E,NA,E
ulex europaeus,E,NA,E
velleia paradoxa,N,F,NF
veronica gracilis,N,F,NF
vicia hirsuta,E,NA,E
viola hederacaea,N,F,NF
vulpia bromoides,E,NA,E
vulpia fasciculata,E,NA,E
wahlenbergia communis,N,F,NF
wahlenbergia gracilenta,N,F,NF
wahlenbergia gracilis,N,F,NF
*brassicaceae sp.,E,NA,E
*poaceae sp.,E,NA,E
*unidentified ?iridaceae,E,NA,E
agrostis sp.,E,NA,E
aira elegantissima,E,NA,E
allocasuarina verticillata,N,S,O
